,longName,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,priceHint,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,timeZoneFullName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
RNAZ,"TransCode Therapeutics, Inc.",Biotechnology,Healthcare,10,,,,,,2,,,,,,0.647,0.001769651,-2.2562928,685475,685475,1664115,7256350,6865015,2.66,66.33,,6.35184,17.990444,2737839,,17259615,696249,743584,1382893,1727654400,1730332800,0.0431,9.00E-05,0.01994,0.5,0.0431,17265700,2.615,3.7705543,,-17905136,5571.72,-0.6,,-0.155,-0.57798326,0.19995654,,,NCM,EQUITY,RNAZ,America/New_York,9.86,20,20,20,20,2,buy,1,3354551,0.194,-17683348,227246,0.958,1.252,,17.186,,-2.0795,-10.48698,,-8542159,-15446278,,,,,,
TV,"Grupo Televisa, S.A.B.",Telecom Services,Communication Services,29373,,,,,,4,0.1,0.0504,1717027200,0.0023,0.61,1.392,0.05588484,-1.6107252,970363,970363,2044605,3205780,1060193024,1.66,3.65,0.014945046,1.8692,2.3395,76259942400,-0.07409,2013158137,535451008,10155711,9997124,1734048000,1736899200,0.0185,0.00041,0.27934998,5.44,,560256000,42.283,0.04682733,,-4819461120,35.43,0.03,1.075,3.265,-0.36129034,0.19995654,0.106,1717027200,NYQ,EQUITY,TV,America/New_York,1.98,10.732724,2.0063818,3.8916357,3.0209718,2.33333,buy,11,42181394432,15.755,23354748928,1.03877E+11,2.247,2.429,70939426816,84.82,130.645,0.00791,-0.03957,23761944576,8284670976,28860409856,,-0.064,0.33495998,0.32922,0.023740001,
ICON,Icon Energy Corp.,Marine Shipping,Industrials,,,,,,,4,0.34,1.0584999,1734307200,0.2642,,,1.0706667,-1.0361291,2846049,2846049,933591,3114070,3408028,0.301,3.85,0.7085297,1.8041,2.2216551,14790126,0.20062,1092688,10610300,16590,13790,1734048000,1736899200,0.0114,0.08803,0.07946,0.53,,10610300,9.973,0.03220696,,439000,0.3,1.1,3.075,8.798,-0.91324323,0.19995654,0.085,1734307200,NCM,EQUITY,ICON,America/New_York,0.3212,1.25,1.25,1.25,1.25,2,buy,1,1823000,1.438,1681000,16206000,,,4810000,128.202,3.795,0.028269999,0.07908,2135000,,1560000,,-0.081,0.44387,0.34948003,-0.45771,
VTLE,"Vital Energy, Inc.",Oil & Gas E&P,Energy,326,5,2,3,5,3,2,,,,,,3.17,2.0881379,3.8196115,716495,716495,763575,703690,1202197888,25.85,58.3,0.6454875,32.1544,36.84935,3683888128,0.25090998,26113101,38152900,6031300,6805802,1734048000,1736899200,0.15810001,0.22226,0.76962996,6.93,0.2327,38165100,84.1,0.374673,43.002,466204000,15.09,7.96,1.978,2.481,-0.29837453,0.19995654,,,NYQ,EQUITY,VTLE,America/New_York,31.51,62,32,42.72727,38,2.46154,buy,11,22192000,0.611,1485017984,2561632000,0.395,0.669,1862465024,83.827,54.183,0.0938,0.19354,1272838016,-1023606976,976889984,21.038,0.054,0.68342,0.79734004,0.683,
REI,"Ring Energy, Inc.",Oil & Gas E&P,Energy,108,7,5,3,3,3,4,,,,,,1.635,2.2280703,3.1358025,1223651,1223651,1786451,1407210,251708912,1.21,2.2,0.6884659,1.392,1.64365,,0.30828,138303174,198196000,11444923,12639406,1734048000,1736899200,0.0577,0.095699996,0.50275004,5.18,0.077800006,201316992,4.295,0.29569265,,112709272,0.57,0.42,,,-0.059259236,0.19995654,,,ASE,EQUITY,REI,America/New_York,1.27,3,3,3,3,2.33333,buy,2,,,283435136,396496608,0.387,0.541,365608384,46.575,1.853,0.08293,0.14224,292416576,-9852466,202877232,,-0.044,0.79981005,0.77524,0.64178,
GSL,"Global Ship Lease, Inc.",Rental & Leasing Services,Industrials,7,,,,,,2,1.8,0.0832,1732233600,0.1766,,1.619,2.424888,2.3018792,188832,188832,352443,265570,766571520,18.75,30.32,1.092798,21.7662,24.6975,1160203008,0.46775,32757753,35440200,913883,1020529,1734048000,1736899200,0.025799999,0.07481,0.58459,3.06,0.0278,35440200,39.147,0.55253273,-0.046,318576992,8.92,9.51,1.654,2.557,0.035919547,0.19995654,0.45,1732233600,NYQ,EQUITY,GSL,America/New_York,21.63,38,26,31,29,1.66667,buy,3,286905984,8.095,453656000,680537024,1.175,1.641,701475968,49.052,19.793,0.10747,0.25948998,490447008,310319008,429766016,-0.05,-0.003,0.69916,0.64672,0.53429,
DAC,Danaos Corporation,Marine Shipping,Industrials,4,,,,,,2,3.4,0.0425,1732492800,0.1108,,,2.7701628,2.777855,114485,114485,124508,88930,1547244032,69.33,98.25,1.5391695,79.2604,83.3962,1842840320,0.56162,9899804,19333300,555095,566365,1734048000,1736899200,0.0287,0.49752,0.19264999,4.91,0.056199998,19420600,175.055,0.4571706,-0.076,564566976,28.89,27.49,1.833,2.754,0.05219567,0.19995654,0.8,1724112000,NYQ,EQUITY,DAC,America/New_York,80.03,105,97,101,101,2,buy,2,384336000,19.867,669256000,678995968,2.55,3.927,1005246016,20.05,51.881,0.085930005,0.17983,765379968,-360376640,611291008,-0.068,0.071,0.76139,0.66576,0.51575,
STLA,Stellantis N.V.,Auto Manufacturers,Consumer Cyclical,258275,10,3,5,6,4,2,1.66,0.1285,1713744000,0.3563,,1.238,2.8628318,4.392396,12957335,12957335,9227110,11959790,37824266240,12.12,29.51,0.2146752,13.0614,16.4797,32858687488,0.07547,1909794253,2869590016,27622440,21698248,1734048000,1736899200,0.0096,0.27046,0.45997003,3.52,0.0114,3064130048,27.782,0.4657692,-0.485,13297000448,4.52,2.98,0.186,1.507,-0.47183675,0.19995654,1.652,1713744000,NYQ,EQUITY,STLA,America/New_York,12.94,31,12.4,18.48429,15.26,2.33333,buy,7,38065999872,12.94,21805000704,32260999168,0.781,1.144,1.76193E+11,39.188,59.896,0.05298,0.16757,31967000576,845000000,13980999680,-0.455,-0.136,0.18143,0.12376001,0.09304,
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,Healthcare,383,5,3,4,7,5,2,,,,,,0.751,2.8696396,-5.772947,617448,617448,858385,538060,1908230400,24.69,62.58,58.052094,39.8174,42.83465,964307328,20.51377,50506511,57030200,5348522,5118666,1734048000,1736899200,0.0938,0.01509,1.06786,5.13,0.0951,57030200,28.527,1.1729238,,674307968,11.66,-6.08,29.336,-2.403,0.2928903,0.19995654,,,NMS,EQUITY,AGIO,America/New_York,33.46,75,46,57,56,2,buy,7,1004756992,17.618,-401288000,60834000,8.438,8.993,32871000,3.74,0.582,-0.18175,0.53655,-266584992,-157062624,-329161984,,0.212,,,-11.46932,
MITT,"AG Mortgage Investment Trust, Inc.",REIT - Mortgage,Real Estate,,6,2,5,9,5,2,0.75,0.1074,1735603200,0.3109,14.54,2.065,2.9327729,6.8134127,149162,149162,260543,204650,205978400,5.44,7.95,2.5511005,6.788,6.96295,6706479616,0.95128995,28536273,29509800,402634,436095,1734048000,1736899200,0.0136,0.07271,0.37774,1.07,0.014099999,29509800,10.837,0.6440897,,58334000,2.38,0.93,83.062,,0.1368078,0.19995654,0.19,1735603200,NYQ,EQUITY,MITT,America/New_York,6.98,52.5,8,15.70833,8.375,1.85714,buy,6,102681000,3.48,,6382709760,8.099,8.113,80741000,1181.797,2.902,0.012970001,0.15509,69002000,,50198000,,1.152,0.85460997,,0.84032995,
PARR,"Par Pacific Holdings, Inc.",Oil & Gas Refining & Marketing,Energy,1814,7,4,5,5,4,2,,,,,,1.994,3.1864076,11.084019,783444,783444,910150,827360,918173952,14.84,40.7,0.110281266,16.8708,21.19795,2239725312,0.03744,54424071,55952100,3062905,3639583,1734048000,1736899200,0.0547,0.02718,0.96588,2.95,0.066599995,55952100,22.398,0.7326547,-0.956,311696992,5.15,2.48,0.269,5.91,-0.58913374,0.19995654,,,NYQ,EQUITY,PARR,America/New_York,16.41,26,19,22.25,21.5,2.375,buy,8,182976992,3.27,378964000,1504528000,0.586,1.69,8325747200,119.976,144.003,0.04042,0.26809,1102973952,-505453504,96953000,-0.953,-0.169,0.13248,0.04552,0.015579999,
VAL,Valaris Limited,Oil & Gas Equipment & Services,Energy,4261,2,2,3,1,1,2,,,,,,1.176,3.191371,10.782546,985289,985289,1570341,1357020,3261489920,39.9,84.2,1.441861,45.5216,59.37045,4062889472,0.4752,59900178,71118400,9823227,10090510,1734048000,1736899200,0.1381,0.10037,0.99467003,6.35,0.1543,71118400,29.62,1.5482782,4.008,1074899968,14.37,5.27,1.796,10.079,-0.30756456,0.19995654,,,NYQ,EQUITY,VAL,America/New_York,45.86,70,40,55.18182,56,2.33333,buy,11,379300000,5.333,403100000,1171800064,1.36,1.606,2262000128,55.175,31.222,0.04595,0.64246005,514400000,-620025024,327500000,4.176,0.413,0.22740999,0.17820999,0.18551001,
ASC,Ardmore Shipping Corporation,Marine Shipping,Industrials,56,,,,,,2,1.08,0.0934,1732838400,0.29860002,,0.377,3.2563381,6.2771506,465752,465752,877451,666180,485651808,10.86,23.44,1.1491345,11.8132,16.94645,505139712,0.36221,39237948,42011400,2075716,2119672,1734048000,1736899200,0.0494,0.055069998,0.73774004,2.67,0.05,42542300,14.924,0.7745913,0.139,149671008,3.55,2.2,1.195,2.867,-0.30151057,0.19995654,0.38,1724976000,NYQ,EQUITY,ASC,America/New_York,11.56,27,13,17.6,16,1.8,buy,5,47574000,1.132,176164992,30012000,3.03,3.571,422624000,4.52,10.166,0.13005,0.25134,203138000,45689376,156211008,0.122,0.106,0.48066002,0.41684,0.26364002,
MUX,McEwen Mining Inc.,Other Precious Metals & Mining,Basic Materials,1977,,,,,,2,,,1551916800,,,1.438,3.3393664,-61.500004,10327831,10327831,707851,1494680,390585024,5.92,12.5,1.9565055,8.296,9.45085,402814176,0.51590997,44554231,52924800,980995,1051526,1734048000,1736899200,0.0185,0.15925999,0.31340998,2.46,0.027,52924800,9.487,0.7779066,,102994000,2.21,-0.12,2.018,12.556,0.063400626,0.19995654,0.05,1551916800,NYQ,EQUITY,MUX,America/New_York,7.38,18,13,14.8125,14.125,1.75,buy,4,30227000,0.571,32082000,42456000,0.635,1.17,199634000,8.456,4.013,-0.00077,0.22597,66231000,-13925750,46776000,,0.361,0.33176,0.1607,0.05709,
TEN,Tsakos Energy Navigation Limited,Oil & Gas Midstream,Energy,,,,,,,2,1.5,0.075500004,1720742400,0.053000003,2.74,-0.158,3.3491774,3.991285,160818,160818,366755,217830,540542592,15.88,31.48,0.6571603,18.0192,23.89655,2008554368,0.23513001,18412381,29505600,412517,192152,1727654400,1730332800,0.014,0.26674,0.22358999,1.23,0.019199999,29505600,54.466,0.3363566,0.26,167070000,5.47,7.53,2.442,5.113,-0.25437528,0.19995654,0.9,1734307200,NYQ,EQUITY,TEN,America/New_York,18.32,40,20,30.66667,32,1.66667,buy,3,472444992,16.012,392840000,1847553024,1.172,1.323,822542976,105.486,27.878,0.045560002,0.11665,443016000,-488968992,296999008,0.43,-0.033,0.53859,0.47759,0.32914,
STNG,Scorpio Tankers Inc.,Oil & Gas Midstream,Energy,24,,,,,,2,1.6,0.034,1732233600,0.111,2.04,0.166,3.3707945,6.5060935,840937,840937,977158,871250,2379222272,45.43,84.67,1.7287153,49.662,66.30915,2839446784,0.52395,39553342,50525000,2919215,3836642,1734048000,1736899200,0.057800002,0.13895,0.70455,2.65,0.0614,52188100,60.045,0.7842452,0.581,721107008,13.97,9.3,2.063,3.241,-0.30821216,0.19995654,0.4,1723680000,NYQ,EQUITY,STNG,America/New_York,47.09,108,49,74,71,1.63636,buy,11,289048000,6.112,876211968,901422976,1.897,2.214,1376295040,31.743,27.856,0.109280005,0.27290002,1033230976,557025280,897766976,0.637,-0.08,0.75073,0.63665,0.3797,
TNK,Teekay Tankers Ltd.,Oil & Gas Midstream,Energy,1590,,,,,,2,1,0.024,1731369600,0.082100004,6.34,-0.334,3.4236453,5.0214705,282799,282799,435326,428680,1432657792,36.04,74.2,1.2023965,40.871,54.8307,1023804928,0.35438,23312095,29730300,615959,407340,1734048000,1736899200,0.0179,0.20257,0.33151,1.22,0.0255,34356300,50.79,0.82102776,-0.277,422249984,12.18,11.19,0.859,2.229,-0.29477423,0.19995654,0.25,1731369600,NYQ,EQUITY,TNK,America/New_York,41.7,88,39,61.71429,56,1.57143,buy,7,462851008,13.472,459263008,54000000,5.825,6.797,1191501952,3.095,34.7,0.13248,0.26669002,534035008,272629760,516700992,-0.281,-0.149,0.4482,0.38544998,0.24012,
KPRX,"Kiora Pharmaceuticals, Inc.",Biotechnology,Healthcare,12,,,,,,4,,,,,,-0.294,3.4285715,-1.3043478,11170,11170,37883,27240,10802844,3,6.75,0.6743348,3.5718,3.885655,-17136240,0.19975,1356113,3000790,3613,5243,1726185600,1728950400,0.0012,0.02307,0.48343,0.27,0.0012,3000790,7.136,0.5044843,,2669029,1.05,-2.23,-1.07,-2.71,-0.41176468,0.19995654,,,NCM,EQUITY,KPRX,America/New_York,3.6,27,10,18.5,18.5,2,buy,2,27818064,9.365,6322639,82323,19.017,19.222,16020000,0.249,7.424,0.12958,0.13692,11423006,1471679,4788978,,,0.71305,0.39466998,-121.23264,
AOMR,"Angel Oak Mortgage REIT, Inc.",REIT - Mortgage,Real Estate,,6,9,1,7,6,2,1.28,0.122,1740096000,0.4399,,1.375,3.6048107,8.408818,128752,128752,86290,64170,246633536,8.88,13.315,2.611509,9.6882,10.7972,2040222208,0.76667,12804709,23511300,125642,116406,1734048000,1736899200,0.0053,0.02922,0.76801,1.27,0.012200001,23511300,11.275,0.93037695,2.772,72324000,2.91,1.33,21.603,,-0.005687177,0.19995654,0.32,1731974400,NYQ,EQUITY,AOMR,America/New_York,10.49,13.5,10.25,12.20833,12.25,1.85714,buy,6,43703000,1.859,,1837292032,3.031,3.04,94441000,693.061,3.851,0.03148,0.29143,83681000,,-243720000,2.909,1.989,0.88607,,0.89906996,
BRY,Berry Corporation,Oil & Gas E&P,Energy,1282,1,2,2,3,1,4,0.58,0.1374,1731628800,0.7037,8.33,1.731,3.907407,7.569506,386548,386548,1326630,665870,324682560,3.72,8.88,0.40246594,4.3084,5.6733,747038528,0.10358,74810092,76939000,1142104,1338701,1734048000,1736899200,0.0148,0.02559,0.87982005,0.94,0.0168,76939000,9.517,0.443417,,83561000,1.08,0.66,0.926,2.021,-0.3710879,0.19995654,0.03,1731628800,NMS,EQUITY,BRY,America/New_York,4.22,9,5,6.4,5,2.4,buy,5,9471000,0.123,369636992,431827008,0.489,0.797,806732992,58.976,10.552,0.0624,0.11603,452478016,133478624,247876992,,-0.17,0.56088,0.45819,0.54113,
GTE,Gran Tierra Energy Inc.,Oil & Gas E&P,Energy,351,3,4,7,1,3,2,,,,,,1.573,3.979021,-2.4847162,154597,154597,365913,272340,204669296,5.01,10.4,0.3251284,6.7142,7.6518,654603392,0.0717,27183950,35970000,738055,788248,1734048000,1736899200,0.020499999,0.028299998,0.45411,1.94,0.021,36096400,13.731,0.4143908,-0.826,45137000,1.43,-0.75,1.04,1.762,0.07561433,0.19995654,,,ASE,EQUITY,GTE,America/New_York,5.69,8.065,8.065,8.065,8.065,2.5,buy,1,277644992,9.058,371511008,757843008,1.172,1.313,629502976,180.066,19.878,0.06514,0.11071,422172992,72396872,283195008,-0.812,-0.159,0.67064005,0.59016997,0.26083001,
NOG,"Northern Oil and Gas, Inc.",Oil & Gas E&P,Energy,38,3,2,9,4,5,2,1.8,0.0512,1743120000,0.191,,1.814,4.1462264,6.7003465,751825,751825,1313183,1375940,3509853952,32.35,44.31,1.7546357,39.118,38.85815,5410380288,0.41866,92410214,99825200,14573082,14611422,1734048000,1736899200,0.146,0.07967,1.12732,9.41,0.235,99825200,23.296,1.509272,10.43,837462016,8.48,5.06,2.705,2.882,0.057125688,0.19995654,0.42,1735516800,NYQ,EQUITY,NOG,America/New_York,35.16,64,35,50.29167,48.5,1.83333,buy,12,34356000,0.346,1877255040,1953099008,0.923,1.235,2000332032,84.422,20.025,0.15949,0.45009,1585060992,-202619376,1460747008,9.571,0.062,0.7924,0.93847,0.86966,0.5583
VALE,Vale S.A.,Other Industrial Metals & Mining,Basic Materials,,,,,,,2,1.48,0.1558,1733961600,0.6429,8.21,0.918,4.384259,4.6676226,34184940,34184940,32528056,38179410,40533684224,8.38,13.77,0.19200358,9.1666,10.62985,1.13209E+11,0.22856002,3982671501,4268720128,91490366,60387948,1734048000,1736899200,0.0214,0.00047,0.1559,3.41,0.0214,4280219904,48.853,0.19384685,-0.034,48250998784,2.16,2.05,0.536,1.351,-0.29486227,0.19995654,0.087,1733961600,NYQ,EQUITY,VALE,America/New_York,9.47,16,9.5,12.68913,12,2.16667,buy,23,25329000448,5.933,83810000896,90388996096,0.551,0.909,2.11109E+11,41.793,49.29,0.092700005,0.23332001,82469003264,40656748544,56702001152,-0.023,0.02,0.39064997,0.397,0.26514998,
VC,Visteon Corporation,Auto Parts,Consumer Cyclical,10000,1,3,1,1,1,2,,,1453680000,,,1.45,4.4087434,9.288607,336863,336863,299238,382310,2228292864,75.75,123.73,0.56887746,87.9272,98.2802,2198291968,0.13224,27222833,27618900,775060,744352,1734048000,1736899200,0.028099999,0.01781,1.00126,2.74,0.044299997,27618900,42.935,1.8791195,-0.409,518000000,18.3,9.07,0.561,5.136,-0.33371872,0.19995654,43.4,1453680000,NMS,EQUITY,VC,America/New_York,80.68,130,90,111.15385,110,2,buy,13,550000000,19.914,428000000,432000000,1.447,1.816,3916999936,33.936,141.664,0.07976,0.51302,527000000,176375008,322000000,-0.397,-0.034,0.13454,0.10927,0.08367,
GPRK,GeoPark Limited,Oil & Gas E&P,Energy,470,,,,,,2,0.59,0.067,1732147200,0.2863,2.95,1.309,4.4568524,4.231325,534463,534463,731633,767910,449474528,7.24,11.72,0.6270238,9.9368,9.38955,851004480,0.14972,30527917,51193000,1193219,756689,1734048000,1736899200,0.0233,0.26704,0.44743,1.76,0.028900001,51193000,3.79,2.3166227,0.014,107328000,1.97,2.59,1.187,1.941,0.012687445,0.19995654,0.147,1724889600,NYQ,EQUITY,GPRK,America/New_York,8.78,18,10,14.66667,14.5,1.8,buy,6,123440000,2.411,438486016,524969984,0.856,1.284,716838016,270.54,13.374,0.17427,0.61082,540449024,96024752,380144992,0.091,-0.17,0.75393,0.61169,0.33478,
HRTG,"Heritage Insurance Holdings, Inc.",Insurance - Property & Casualty,Financial Services,566,6,8,6,4,6,2,,,1655078400,,3.46,0.986,4.470356,5.8804264,139067,139067,194248,157720,347038304,5.77,16.9,0.43724832,11.7754,10.8032,-35995676,0.090959996,21530630,30684200,746556,814717,1734048000,1736899200,0.024300002,0.26369,0.56304,3.89,0.032899998,31579500,9.588,1.1795995,,72190000,2.53,2.22,-0.045,-0.336,0.8241936,0.19995654,0.06,1655078400,NYQ,EQUITY,HRTG,America/New_York,11.31,17,15,16,16,2,buy,2,509918016,17.502,107220000,144412000,0.31,0.751,793686976,51.697,26.755,0.025899999,0.3352,179000992,229024624,242930000,,0.137,0.22553,0.13509,0.05546,
CART,Maplebear Inc.,Internet Retail,Consumer Cyclical,3380,5,9,8,8,8,2,,,,,,,4.664455,15.831652,2542335,2542335,4234728,2746170,12641803264,24.52,50.11,3.8331728,44.5704,38.7332,11681868800,0.13463001,125800077,256895008,17868551,13188085,1734048000,1736899200,0.0696,0.12337,0.71809995,3.76,0.38009998,260322000,11.061,4.4489646,,435000000,10.55,1.34,3.542,27.814,0.79729724,0.19995654,,,NMS,EQUITY,CART,America/New_York,49.21,60,37,51.53846,53.5,2.12903,buy,26,1308000000,5.037,420000000,28000000,2.752,3.06,3297999872,0.916,12.197,0.05631,0.13224,2486000128,526000000,767000000,,0.115,0.75378996,0.12735,0.16315001,
IAG,IAMGOLD Corporation,Gold,Basic Materials,3700,5,1,5,5,3,2,,,1372636800,,2.05,1.488,4.748148,8.328568,11267245,11267245,9067211,13471220,3661391872,2.32,6.64,2.5066009,5.6126,4.8289,4107692032,0.49565,570451728,571200000,7788575,6820103,1734048000,1736899200,0.0136,0.00109,0.70355004,0.89,,572747008,5.699,1.1247587,,724000000,1.35,0.8,2.812,8.973,1.5137255,0.19995654,0.125,1372636800,NYQ,EQUITY,IAG,America/New_York,6.41,7.6,6.65,7,7,2.27273,buy,5,554400000,0.971,457800000,941600000,0.564,0.893,1460700032,28.415,2.824,0.04438,0.26791,468800000,171750000,453300000,,0.955,0.32094002,0.31340998,0.31693,
PDS,Precision Drilling Corporation,Oil & Gas Drilling,Energy,5000,2,4,8,3,5,2,,,1446595200,,,2.748,4.8841467,5.658452,116199,116199,74830,92240,772616576,54.49,79.07,0.39804506,61.1188,65.95755,1630072832,0.12525,13593766,13779500,188515,186043,1734048000,1736899200,0.0137,0.02175,0.58731,2.84,,14287700,117.77,0.4760975,0.98,243122000,11.48,7.46,0.84,3.018,-0.127451,0.19995654,1.08,1446595200,NYQ,EQUITY,PDS,America/New_York,56.07,,,,,1.66667,buy,,24304000,1.728,540161024,861233024,1.392,1.544,1941027968,51.847,136.158,0.054,0.15969,688136000,207302624,489547008,0.592,0.068,0.35452,0.27829,0.14115,
OBE,Obsidian Energy Ltd.,Oil & Gas E&P,Energy,198,4,5,3,2,3,2,,,1443398400,,10.45,2.255,5.232323,7.1944437,391913,391913,420028,439600,385761312,4.87,9.07,0.55322146,5.5014,6.46465,734761152,0.16707,68130784,74471296,4521976,3713973,1734048000,1736899200,0.0614,0.02674,0.21881,11.37,,74809600,22.626,0.22894016,0.339,116500000,0.99,2.32,1.054,1.659,-0.22571003,0.19995654,0.049,1443398400,ASE,EQUITY,OBE,America/New_York,5.18,,,,,2,buy,,900000,0.012,442800000,349900000,0.355,0.451,697299968,20.55,9.012,0.05192,0.069910005,438800000,-84937504,364600000,0.4,0.075,0.62928003,0.63502,0.27686,
SM,SM Energy Company,Oil & Gas E&P,Energy,544,2,1,1,1,1,2,0.8,0.0214,1737676800,0.096599996,1.09,4.189,5.2352943,4.7986937,1228300,1228300,1280181,1255440,4276944896,36.13,53.26,1.8298155,40.6396,43.9055,5266206208,0.35473,112253617,114418000,10949134,10664911,1734048000,1736899200,0.095699996,0.02004,1.03821,7.54,0.14,114418000,35.497,1.0530467,0.082,829126016,7.14,7.43,2.253,2.867,-0.017608404,0.19995654,0.2,1737676800,NYQ,EQUITY,SM,America/New_York,37.38,65,45,53.46667,54,2.06667,buy,15,1735313024,15.166,1836525952,2724559104,3.376,3.518,2337363968,67.082,20.3,0.097349994,0.22211,1927843968,169859376,1681159936,0.112,-0.041,0.82478994,0.78573,0.53874,0.5576
SBLK,Star Bulk Carriers Corp.,Marine Shipping,Industrials,216,,,,,,2,2.8,0.1398,1724716800,0.67410004,15.06,1.009,5.2491465,5.613323,1275592,1275592,2015923,1327520,1813179008,14.3,27.47,1.6501251,15.503,20.8839,3535385856,0.24053,107439466,117892000,1452167,1707035,1727654400,1730332800,0.0127,0.051909998,0.40705,0.97,0.0129,117892000,19.759,0.77837944,1.394,264298000,2.93,4.55,3.217,7.331,-0.33130437,0.19995654,0.7,1724716800,NMS,EQUITY,SBLK,America/New_York,15.38,36.88,16,23.98286,23,1.83333,buy,7,466463008,3.926,482251008,1621778048,1.169,1.515,1098813056,65.982,11.52,0.056209996,0.11873999,522801984,276866112,412568000,1.163,0.478,0.47579,0.43888,0.3165,
PBR,Petróleo Brasileiro S.A. - Petrobras,Oil & Gas Integrated,Energy,46730,,,,,,2,2.83,0.20629999,1735257600,0.9432,19.97,0.914,5.359375,4.596438,15475572,15475572,14124045,13350220,85747810304,12.55,17.91,0.17019567,13.7148,14.52635,4.2255E+11,0.1681,7950930353,3721120000,36458999,25414430,1734048000,1736899200,0.0057,0.00012,0.19641,2.8,0.020599999,6507729920,30.543,0.44920278,0.223,84693000192,2.56,2.97,0.839,1.89,-0.20555878,0.19995654,0.463,1735257600,NYQ,EQUITY,PBR,America/New_York,13.72,19.5,15,16.62987,16.8,1.93333,buy,15,77838000128,6.039,2.23583E+11,3.22157E+11,0.643,0.935,5.03819E+11,81.548,78.002,0.109230004,0.21757999,2.60952E+11,1.11709E+11,2.14029E+11,0.237,0.038,0.51795,0.44377998,0.39625,2.6212
TWO,Two Harbors Investment Corp.,REIT - Mortgage,Real Estate,466,6,3,7,6,5,2,1.8,0.1529,1735862400,3.1034,14.18,1.889,5.443038,7.211135,924869,924869,1239331,1453700,1337472000,10.84,14.27,11.194483,11.8832,12.7584,10969263104,,102966035,103680000,3373245,3195074,1734048000,1736899200,0.0325,0.010190001,0.683,2.23,0.044299997,103680000,15.127,0.8527798,,-458185984,2.37,1.48,91.811,,0.005455971,0.19995654,0.45,1735862400,NYQ,EQUITY,TWO,America/New_York,12.9,15,12,13.625,13.5,2.2,buy,8,894332992,8.628,,10042167296,0.144,0.165,119476000,462.906,1.171,-0.030720001,-0.19212,91953000,,331801984,,,0.76963997,,4.96205,
ENIC,Enel Chile S.A.,Utilities - Regulated Electric,Utilities,1971,,,,,,4,0.26,0.0813,1737072000,0.404,6.81,0.717,5.5172415,0.008503933,259344,259344,447441,474990,4459871744,2.51,3.275,0.000939863,2.9012,2.8371,4.39845E+12,0.16351,24832177373,1383330048,871021,750958,1734048000,1736899200,0.0006,1.0000001e-05,0.04176,2.37,,1421440000,69.252,0.046208054,0.033,7.75889E+11,0.58,221.06,0.927,3.553,0.1552347,0.19995654,0.214,1716336000,NYQ,EQUITY,ENIC,America/New_York,3.2,4.3636494,3.4003391,4.014288,4.0519953,1.8,buy,5,4.86685E+11,7.036,1.23807E+12,4.31731E+12,1.06,1.156,4.74524E+12,84.053,3430.3,0.05158,0.17071,1.64975E+12,4.94829E+11,1.08026E+12,0.033,0.234,0.34765998,0.26091,0.24229,
OVV,Ovintiv Inc.,Oil & Gas E&P,Energy,1743,5,1,1,1,1,2,1.2,0.028199999,1734048000,0.1583,2.53,2.641,5.609499,7.5774584,1733303,1733303,2860790,2413470,11068976128,36.91,55.95,1.1576005,42.4722,44.20235,17834995712,0.21345,258851028,260324000,4961394,4105669,1734048000,1736899200,0.0191,0.00563,0.85905,1.74,0.0215,260324000,40.918,1.0391515,0.249,2040999936,7.58,6.26,1.865,3.509,-0.001643598,0.19995654,0.3,1734048000,NYQ,EQUITY,OVV,America/New_York,42.52,73,44,58.41857,56,1.70833,buy,21,9000000,0.035,5081999872,6775000064,0.471,0.521,9562000384,63.585,35.739,0.086840004,0.20201,4940000256,626750016,4063000064,0.306,-0.252,0.51663,0.53148,0.24197,
